,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,Temp,Windspeed
258,tianpeng,67,CF,1569648419,88,10.3,22.78,75.01,75.01,3.65
259,laukaa,90,CA,1569648280,91,54.14,-115.68,32.0,32.0,3.36
260,makakilo city,75,RU,1569648419,80,53.14,59.15,41.0,41.0,13.42
261,kenai,84,NO,1569648420,83,70.86,29.09,40.99,40.99,19.55
262,lunenburg,0,MX,1569648420,85,27.97,-114.04,67.83,67.83,19.64
263,bardiyah,100,RU,1569648420,70,58.84,125.49,36.85,36.85,13.98
264,sijunjung,93,AR,1569648421,91,-38.55,-58.74,46.34,46.34,15.17
265,morgan city,84,NA,1569648421,12,-24.14,19.11,62.88,62.88,14.34
266,khuzdar,100,NZ,1569648421,72,-46.28,169.85,53.01,53.01,17.0
267,morada nova,100,RU,1569648421,94,69.38,178.42,39.93,39.93,4.23
268,portland,43,RU,1569648422,41,49.23,41.83,54.53,54.53,6.24
269,flin flon,21,NE,1569648422,11,18.69,12.92,86.58,86.58,6.29
270,tiksi,0,AU,1569648422,48,-16.92,145.77,88.0,83.91,14.99
271,tucumcari,0,PT,1569648423,87,39.36,-9.38,60.8,59.76,9.17
272,paradwip,36,CG,1569648423,96,1.61,16.05,70.6,70.6,6.22
273,berkak,99,CF,1569648423,92,8.07,22.4,70.24,70.24,2.84
274,pochutla,75,LR,1569648424,94,5.88,-10.05,77.0,77.0,11.34
275,horta,75,IN,1569648424,88,17.53,78.27,82.4,81.3,6.93
276,surt,66,MX,1569648424,44,23.82,-100.72,71.32,71.32,7.52
277,kano,100,CA,1569648425,84,46.12,-70.67,53.01,49.32,8.21
278,shepetivka,100,NZ,1569648425,79,-42.52,172.83,41.69,41.69,10.94
279,ilulissat,25,BO,1569648425,42,-14.83,-64.9,71.43,71.43,1.52
280,salto de pirapora,30,CA,1569648426,65,60.75,-137.51,29.33,29.33,0.94
281,atambua,40,ID,1569648269,83,-8.65,115.22,82.4,82.4,17.22
282,carmarthen,0,EE,1569648426,83,59.1,26.19,46.0,46.0,7.67
283,saint-francois,66,ID,1569648426,42,0.12,117.47,96.31,96.31,2.08
284,shellbrook,99,RU,1569648427,92,65.85,44.24,40.54,40.54,12.06
285,kastamonu,96,UA,1569648427,85,49.92,27.76,50.01,50.01,9.35
286,griffith,20,US,1569648159,74,20.89,-156.47,82.4,77.18,14.99
287,port moresby,0,RU,1569648428,51,66.42,112.4,37.4,37.4,4.47
288,novoanninskiy,75,FR,1569648428,82,41.93,8.74,73.4,68.52,3.36
289,yoichi,90,FR,1569648428,93,48.95,4.24,57.2,56.1,16.11
290,hainburg,40,BB,1569648399,78,13.22,-59.52,82.4,82.4,14.99
291,grand river south east,75,AU,1569648429,60,-31.43,152.91,71.01,68.5,19.46
292,esperance,40,CN,1569648429,9,40.29,97.04,83.51,83.51,14.05
293,san cristobal,75,IN,1569648429,94,25.33,76.51,77.0,77.0,2.24
294,kamenskoye,20,GL,1569648174,69,60.91,-46.05,37.4,37.4,5.82
295,sao joao da barra,75,MY,1569648430,62,1.24,111.46,89.6,87.57,4.7
296,scarborough,0,RU,1569648430,76,45.23,147.88,59.1,59.1,11.48
297,birao,3,CA,1569648430,79,50.63,-96.99,37.99,37.99,9.75
298,whitecourt,62,RU,1569648431,48,56.36,114.84,34.92,34.92,7.72
299,svetlogorsk,100,MG,1569648431,92,-14.27,50.17,72.74,72.74,2.28
300,berlevag,1,US,1569648224,76,40.7,-99.08,57.0,55.35,11.41
301,guerrero negro,0,PT,1569648348,77,37.02,-7.94,64.99,63.97,3.36
302,nizhniy kuranakh,1,US,1569648432,93,41.14,-73.36,68.0,58.84,4.21
303,necochea,90,ES,1569648432,78,28.66,-17.92,73.4,73.4,10.29
304,aranos,100,HN,1569648388,98,14.25,-87.96,64.55,64.55,4.21
305,kaitangata,3,BR,1569648433,96,-9.01,-35.22,67.76,67.76,4.03
306,leningradskiy,94,RU,1569648433,34,56.71,104.25,44.36,44.36,6.46
307,samusu,20,CA,1569648287,62,50.7,-127.42,53.6,53.6,13.87
308,bokovskaya,7,PF,1569648434,83,-16.48,-151.75,79.26,79.26,13.04
309,bilma,0,JP,1569648434,68,39.38,140.05,73.4,71.76,4.7
310,cairns,75,NO,1569648184,73,78.22,15.63,26.6,26.6,4.7
311,peniche,0,PY,1569648434,75,-26.98,-56.83,60.63,60.63,6.76
312,ouesso,88,ID,1569648435,41,-2.54,115.51,94.5,94.5,0.43
313,ouadda,100,RU,1569648435,78,55.38,91.62,48.32,48.32,4.79
314,buchanan,1,BR,1569648435,76,-20.63,-46.0,60.61,60.61,4.85
315,patancheru,0,BR,1569648436,85,-29.79,-55.79,51.52,51.52,16.62
316,naftah,100,ET,1569648436,90,8.98,37.85,59.84,59.84,3.27
317,cedral,100,RU,1569648436,88,45.92,47.05,54.83,54.83,8.46
318,saint-georges,73,PG,1569648436,69,-2.67,141.3,82.62,82.62,4.38
319,hanmer springs,1,US,1569648437,79,37.17,-99.65,66.99,66.02,25.99
320,trinidad,52,RU,1569648437,68,52.86,48.6,47.09,47.09,9.35
321,haines junction,1,US,1569648332,93,46.81,-100.78,44.01,40.5,3.36
322,denpasar,97,RU,1569648438,79,53.73,119.76,38.78,38.78,7.72
323,vao,63,ID,1569648438,85,-0.92,100.36,79.24,79.24,16.11
324,bontang,81,CU,1569648438,91,20.71,-78.0,76.06,76.06,1.48
325,ardistan,0,AE,1569648299,52,24.47,54.37,91.4,91.4,5.82
326,mezen,39,SO,1569648439,57,2.62,44.89,83.09,83.09,13.22
327,lyubar,75,FR,1569648439,76,48.94,2.36,57.99,56.37,13.87
328,wulanhaote,40,MX,1569648402,74,21.23,-86.73,82.4,82.18,9.17
329,kahului,86,RU,1569648132,61,71.98,102.47,35.63,35.63,3.98
330,udachnyy,60,LT,1569648440,86,56.08,25.62,48.48,48.48,10.16
331,ajaccio,5,PK,1569648440,43,26.0,63.05,93.01,93.01,7.2
332,saint-pierre,98,ID,1569648441,86,-3.36,135.5,77.01,77.01,0.51
333,bathsheba,0,TR,1569648441,51,36.37,30.29,64.39,64.39,5.32
334,port macquarie,49,CA,1569648441,100,50.25,-96.06,37.99,35.4,8.48
335,yumen,25,OM,1569648441,34,22.93,57.53,88.11,88.11,3.76
336,mangrol,0,UZ,1569648442,17,38.2,67.2,74.78,74.78,7.49
337,narsaq,51,AU,1569648442,32,-27.18,151.26,82.0,81.28,20.8
338,sri aman,20,GH,1569648442,88,5.79,0.9,77.0,77.0,2.24
339,kurilsk,97,NO,1569648443,87,71.03,27.85,38.47,38.47,13.58
340,gimli,51,ZA,1569648443,80,-34.05,23.37,63.08,63.08,4.61
341,taksimo,90,NO,1569648443,93,70.24,22.35,42.8,38.95,1.12
342,lawan kuda baharu,5,MX,1569648444,88,21.05,-89.07,81.0,79.59,11.41
343,sambava,66,IN,1569648444,74,11.67,92.75,83.65,83.65,8.7
344,kearney,18,CN,1569648444,49,40.71,112.04,69.8,69.8,4.47
345,faro,75,IN,1569648445,83,30.69,78.49,78.8,78.8,3.36
346,westport,85,RU,1569648445,71,66.77,123.37,37.52,37.52,3.71
347,hvolsvollur,0,SY,1569648445,41,35.01,37.05,74.54,74.54,4.88
348,los llanos de aridane,40,US,1569648445,78,20.76,-156.45,80.6,76.71,16.11
349,san jose,90,CD,1569648446,42,-7.3,27.4,83.8,83.8,2.66
350,maragogi,100,RU,1569648446,67,64.57,143.24,29.94,29.94,2.55
351,khrebtovaya,44,CV,1569648446,83,14.9,-24.5,77.48,77.48,10.2
352,port hardy,40,CO,1569648447,78,3.17,-76.26,73.4,73.4,3.36
353,sukhumi,100,RU,1569648447,88,67.47,78.7,35.07,35.07,6.64
354,faanui,88,GB,1569648447,87,50.34,-4.77,59.0,57.04,19.46
355,honjo,99,CA,1569648447,79,48.65,-53.11,54.0,54.0,11.01
356,longyearbyen,0,RU,1569648448,68,49.08,142.06,63.06,63.06,12.01
357,san patricio,89,LK,1569648448,74,5.97,80.42,81.53,81.53,3.53
358,labuhan,0,CN,1569648448,54,22.82,115.83,89.01,89.01,1.99
359,balakhta,46,TZ,1569648448,57,-8.94,36.14,77.78,77.78,4.88
360,ponta do sol,100,UG,1569648449,87,2.42,30.99,68.06,68.06,3.18
361,alegrete,87,RU,1569648449,72,53.57,52.8,45.29,45.29,10.83
362,hagere hiywet,12,US,1569648449,100,46.92,-98.0,46.4,41.25,2.57
363,zenzeli,1,NE,1569648450,23,16.97,7.99,75.2,75.2,4.34
364,vanimo,55,NZ,1569648259,79,-35.17,173.16,62.01,62.01,10.42
365,sitka,0,NZ,1569648450,65,-39.94,176.59,53.01,53.01,17.0
366,privolzhye,39,MV,1569648450,70,6.62,73.07,82.98,82.98,7.0
367,bismarck,100,RU,1569648451,97,68.06,166.44,24.23,24.23,2.71
368,pokanayevka,90,RU,1569648451,93,54.81,82.6,41.0,41.0,11.18
369,mogocha,40,PA,1569648451,100,9.52,-79.03,78.01,77.67,3.36
370,padang,90,US,1569648452,93,37.46,-122.43,60.01,56.55,8.05
371,santa cruz del sur,100,NG,1569648452,95,7.45,3.75,72.89,72.89,1.23
372,abu dhabi,100,NG,1569648452,93,7.7,8.47,73.08,73.08,6.8
373,wanlaweyn,74,RU,1569648453,78,56.81,48.92,39.21,39.21,9.8
374,mahaicony,75,CO,1569648453,90,2.89,-72.13,74.16,74.16,2.42
375,saint-denis,0,PT,1569648453,70,40.36,-7.35,55.0,49.12,2.39
376,isla mujeres,0,AU,1569648200,34,-35.36,150.48,66.0,64.45,10.29
377,grand centre,75,CA,1569648454,93,46.6,-70.86,55.0,53.17,4.7
378,khatanga,75,US,1569648454,83,21.32,-158.01,84.0,81.66,4.7
379,juodupe,0,ZA,1569648454,71,-28.77,32.06,64.28,64.28,15.64
380,turbat,0,BR,1569648303,63,-28.24,-48.67,60.8,60.8,5.82
381,nabire,76,BR,1569648455,75,-8.26,-49.26,75.23,75.23,2.13
382,kumluca,31,ID,1569648455,90,-8.35,113.61,74.72,74.72,26.8
383,lac du bonnet,0,UY,1569648204,87,-34.91,-54.96,51.8,51.8,11.41
384,nizwa,75,CI,1569648456,100,5.21,-4.42,75.2,75.2,5.82
385,boysun,40,MU,1569648456,65,-20.21,57.76,77.0,77.0,14.99
386,dalby,25,CN,1569648456,25,37.93,102.64,80.01,80.01,7.2
387,anloga,100,IN,1569648456,93,25.14,81.45,74.18,74.18,7.02
388,sedelnikovo,0,CL,1569648457,66,-45.58,-72.07,48.2,48.2,5.82
389,palabuhanratu,5,PL,1569648457,92,52.74,14.7,53.01,51.03,3.0
390,mehamn,75,CA,1569648245,93,46.83,-71.24,55.0,53.26,4.7
391,plettenberg bay,0,AU,1569648457,10,-25.24,130.99,95.0,95.0,5.82
392,oksfjord,20,JP,1569648458,68,43.11,144.15,66.2,66.2,10.29
393,teya,0,AU,1569648170,47,-34.85,139.16,64.0,59.34,12.75
394,port blair,75,VU,1569648458,74,-15.51,167.18,80.6,80.6,10.29
395,zhuhai,5,CA,1569648458,100,50.03,-66.88,44.01,41.14,2.24
396,ginda,40,US,1569648459,61,43.52,-114.32,46.4,42.91,3.2
397,zhigansk,100,MX,1569648459,71,24.02,-104.65,64.99,64.99,10.0
398,salamiyah,75,NG,1569648459,88,9.9,4.41,71.77,71.77,4.18
399,kihei,0,NO,1569648459,71,63.83,10.7,55.0,52.77,13.87
400,manono,0,CN,1569648460,16,43.61,122.27,89.41,89.41,16.33
401,ust-nera,0,IT,1569648460,87,42.04,11.87,68.0,62.83,14.54
402,sao filipe,75,RU,1569648461,93,56.22,46.62,39.2,39.2,6.71
403,corinto,1,BS,1569648461,81,26.54,-78.7,80.41,80.41,12.37
404,tazovskiy,80,TD,1569648461,52,14.53,20.93,85.83,85.83,8.77
405,saint austell,74,IE,1569648462,95,54.63,-8.45,55.0,55.0,4.0
406,bonavista,57,BR,1569648462,66,-11.68,-61.19,77.48,77.48,1.95
407,uglegorsk,99,NZ,1569648462,84,-46.13,167.69,53.01,53.01,18.99
408,weligama,10,ES,1569648462,100,42.77,-9.06,59.0,50.63,5.99
409,jieshi,30,IN,1569648463,95,30.78,78.62,43.82,43.82,7.56
410,malinyi,85,PA,1569648183,93,7.53,-80.03,73.26,73.26,3.44
411,paidha,1,US,1569648464,69,30.3,-99.24,78.8,77.29,10.29
412,asekeyevo,90,US,1569648464,93,39.76,-105.22,57.0,53.15,3.36
413,valley city,48,RU,1569648464,69,53.94,139.92,60.02,60.02,10.76
414,agadez,1,US,1569648465,75,43.97,-111.68,48.2,46.02,4.7
415,xiongshi,30,CA,1569648465,93,45.68,-62.71,55.0,49.69,7.0
416,ahipara,100,PG,1569648465,70,-2.57,150.8,84.87,84.87,9.04
417,waipawa,0,CN,1569648465,29,35.32,102.79,53.19,53.19,2.82
418,kulhudhuffushi,0,CO,1569648466,80,11.78,-72.45,83.81,83.81,12.73
419,kegayli,90,RU,1569648466,93,65.37,58.04,33.88,33.88,4.18
420,bilibino,0,FR,1569648466,93,43.56,6.97,66.2,60.58,4.7
421,yarkovo,75,JP,1569648409,78,34.7,138.93,80.01,76.95,3.36
422,tubuala,37,RU,1569648467,84,68.01,35.02,42.05,42.05,4.94
423,half moon bay,90,CA,1569648467,100,48.86,-53.99,50.0,50.0,13.87
424,bada,0,TR,1569648467,49,36.61,34.31,74.78,74.78,1.88
425,labe,100,AU,1569648468,62,-13.85,136.42,86.0,86.0,13.87
426,kuzhener,1,US,1569648227,54,32.0,-102.08,82.4,80.85,14.99
427,mapiripan,0,AU,1569648468,60,-30.38,153.1,87.8,77.29,20.8
428,belmonte,20,JM,1569648468,74,18.44,-78.17,82.4,82.4,11.41
429,ulladulla,90,US,1569648244,100,41.47,-87.06,66.99,65.44,10.29
430,sainte-claire,100,BJ,1569648469,91,9.94,3.21,69.97,69.97,6.44
431,ewa beach,75,HT,1569648469,78,18.19,-73.75,82.91,82.91,10.69
432,richards bay,63,OM,1569648197,45,22.57,59.53,90.6,90.6,6.04
433,imbituba,0,PE,1569648470,84,-12.12,-73.0,67.81,67.81,3.02
434,conceicao do araguaia,0,AF,1569648470,11,36.76,68.87,90.78,90.78,5.3
435,ambulu,90,AU,1569648470,58,-37.83,140.78,55.4,55.4,16.11
436,maldonado,30,ML,1569648471,10,22.68,-3.98,88.35,88.35,6.15
437,jacqueville,75,RU,1569648471,84,54.72,135.31,50.96,50.96,6.67
438,quatre cocos,0,AR,1569648471,54,-31.25,-61.49,59.0,57.99,4.0
439,wuwei,27,BR,1569648472,65,-18.58,-49.2,72.53,72.53,5.57
440,bargarh,0,CN,1569648472,39,49.6,117.43,51.94,51.94,20.65
441,coihaique,8,CN,1569648472,56,19.57,109.85,84.82,84.82,6.08
442,debno,0,GB,1569648473,93,52.47,1.45,54.0,52.29,13.87
443,quebec,23,CD,1569648473,70,-6.42,20.79,77.03,77.03,1.23
444,yulara,41,PH,1569648473,70,5.4,125.46,83.61,83.61,9.01
445,kushiro,50,MG,1569648473,61,-24.69,44.75,76.31,76.31,12.73
446,palmer,75,ZA,1569648474,88,-33.59,22.2,62.6,62.6,5.82
447,luganville,100,RU,1569648474,98,65.58,-170.99,39.68,39.68,5.35
448,port-cartier,0,SY,1569648474,46,35.3,37.18,73.95,73.95,2.95
449,hailey,40,IN,1569648474,62,12.63,80.17,88.0,87.94,4.7
450,reforma,75,JP,1569648475,58,33.93,134.5,84.0,82.45,9.17
451,wawa,0,IQ,1569648176,46,33.3,44.38,73.4,73.4,3.36
452,hovd,40,JP,1569648475,69,34.35,131.14,84.2,81.61,12.75
453,tongliao,100,UG,1569648475,66,3.01,34.12,71.93,71.93,16.46
454,satitoa,25,SO,1569648476,45,7.98,49.82,86.64,86.64,17.43
455,korla,0,AU,1569648476,16,-14.47,132.26,100.4,100.4,13.87
456,santa marinella,0,FR,1569648476,93,46.85,-1.88,60.01,57.38,6.93
457,mishkino,97,CO,1569648477,96,5.36,-74.39,67.85,67.85,2.55
458,freeport,5,IT,1569648477,93,39.96,18.09,61.0,58.23,1.12
459,tsihombe,1,US,1569648477,40,42.87,-112.44,53.01,52.21,4.7
460,biltine,65,PG,1569648477,75,-2.02,147.27,83.65,83.65,7.29
461,killybegs,20,CA,1569648478,84,49.72,-86.95,32.0,32.0,4.7
462,pimenta bueno,67,SB,1569648478,75,-10.46,161.92,83.0,83.0,7.72
463,tuatapere,74,PE,1569648479,91,-11.1,-77.61,60.43,60.43,12.41
464,muros,90,PE,1569648479,88,-13.71,-76.2,62.6,62.26,12.75
465,lata,94,BO,1569648479,75,-17.38,-67.67,46.26,46.26,0.49
466,labutta,82,BI,1569648479,67,-3.48,29.48,60.79,60.79,4.45
467,pedasi,75,BR,1569648480,78,-3.71,-38.6,78.8,78.8,10.29
468,harper,90,CA,1569648480,77,45.82,-77.11,60.8,59.14,8.05
469,olafsvik,77,CO,1569648337,86,1.8,-78.82,77.91,77.91,15.7
470,golden,75,US,1569648193,70,64.84,-147.72,42.8,40.41,2.1
471,mnogovershinnyy,94,AR,1569648481,55,-43.3,-65.11,57.51,57.51,3.58
472,saint anthony,100,ID,1569648481,73,4.14,96.13,82.0,82.0,5.99
473,pictou,64,AU,1569648481,18,-20.31,118.58,89.6,89.6,12.75
474,kavieng,75,US,1569648481,74,21.44,-157.84,84.0,81.68,11.41
475,madang,75,PE,1569648482,87,-7.84,-79.15,60.8,60.8,6.93
476,kapoeta,0,AU,1569648482,15,-23.7,133.88,89.6,89.6,5.82
477,manaure,97,RU,1569648482,65,47.15,42.46,59.15,59.15,9.73
478,synya,90,CA,1569648483,64,55.1,-105.3,37.4,37.4,5.82
479,saint-joseph,1,US,1569648337,29,35.62,-117.67,78.8,72.97,21.92
480,shimoda,78,PG,1569648483,96,-6.12,141.3,79.39,79.39,1.97
481,lovozero,20,CN,1569648483,62,19.86,110.11,86.0,86.0,8.95
482,hare bay,57,BE,1569648484,87,50.34,4.87,57.0,55.63,16.11
483,erdemli,90,GT,1569648484,100,14.51,-92.19,75.2,75.2,4.7
484,alyangula,90,CA,1569648484,55,55.34,-123.09,35.6,35.6,9.17
485,midland,4,AU,1569648485,60,-33.96,116.14,73.0,70.54,3.0
486,sawtell,0,CN,1569648485,29,35.6,103.21,68.14,68.14,7.16
487,lucea,20,US,1569648485,93,46.98,-123.82,55.0,47.8,5.21
488,tumannyy,19,CV,1569648485,87,15.13,-23.22,73.98,73.98,9.24
489,valparaiso,0,AR,1569648486,59,-27.46,-55.82,66.2,66.2,6.93
490,nikki,90,US,1569648486,72,36.62,-121.92,61.0,57.43,9.17
491,les cayes,40,MU,1569648403,65,-20.01,57.66,77.0,77.0,14.99
492,sur,11,SO,1569648309,50,4.12,43.89,82.68,82.68,16.84
493,pangoa,20,SN,1569648487,88,14.69,-16.54,78.8,78.8,5.82
494,lukh,51,RU,1569648488,73,59.24,163.07,38.56,38.56,8.68
495,mount gambier,20,KM,1569648488,69,-11.38,43.28,80.6,80.6,19.46
496,taoudenni,96,MX,1569648345,96,15.86,-97.07,75.35,75.35,10.94
497,chumikan,0,NE,1569648489,78,13.52,2.11,80.6,80.6,6.93
498,rafaela,100,RU,1569648489,53,56.96,97.71,45.11,45.11,9.26
499,centralina,100,GN,1569648489,98,10.37,-12.08,68.75,68.75,0.16
500,manzhouli,0,IR,1569648490,66,28.97,50.84,91.4,90.63,4.5
501,jabiru,69,RU,1569648490,53,59.56,150.8,45.49,45.49,8.72
502,zhongxing,86,SN,1569648490,73,15.61,-13.32,80.54,80.54,15.21
503,broome,73,NC,1569648490,56,-21.57,165.5,73.21,73.21,1.81
504,tshikapa,0,NA,1569648491,92,-22.12,14.28,61.0,61.0,1.01
505,sarangani,16,SA,1569648491,67,25.02,37.27,85.2,85.2,14.79
506,ampanihy,28,RU,1569648491,47,44.75,132.04,75.48,75.48,13.4
507,oudtshoorn,99,ID,1569648491,90,-1.4,120.75,71.01,71.01,3.24
508,lavrentiya,75,US,1569648492,74,21.39,-157.74,84.0,81.68,11.41
509,abu samrah,75,DE,1569648492,77,52.12,9.98,60.8,57.67,8.05
510,mamallapuram,1,US,1569648492,93,40.88,-72.94,69.8,60.19,9.78
511,katsuura,75,JP,1569648493,74,36.58,137.08,78.8,77.94,6.93
512,baghdad,0,BR,1569648493,61,-10.7,-48.41,80.6,80.6,4.7
513,nagato,100,RU,1569648493,84,53.46,85.45,49.41,49.41,19.04
514,kotido,5,VE,1569648493,89,8.89,-64.17,73.64,73.64,9.22
515,eyl,80,PG,1569648297,71,-3.66,152.44,83.49,83.49,8.86
